150L_x,150L_y,150L_z,250L_x,250L_y,250L_z,150R_x,150R_y,150R_z,250R_x,250R_y,250R_z,Straight_x,Straight_y,Straight_z,150L_LEdge_x,150L_LEdge_y,150L_REdge_x,150L_REdge_y,250L_LEdge_x,250L_LEdge_y,250L_REdge_x,250L_REdge_y,150R_LEdge_x,150R_LEdge_y,150R_REdge_x,150R_REdge_y,250R_LEdge_x,250R_LEdge_y,250R_REdge_x,250R_REdge_y,Straight_LEdge_x,Straight_LEdge_y,Straight_REdge_x,Straight_REdge_y
-31.43008103,-27.9564119,0.25161875,-30.60427506,-28.80685,0.161925,135.2022936,35.65264183,-0.34845625,153.2546849,15.99390768,-0.0523875,-27.003,0,-0.04365625,-59.55745588,-32.33533832,-59.515602,-32.93387675,-52.82098409,-29.69049219,-52.81574816,-30.29046934,148.5121001,34.44955759,148.4182394,33.85694459,133.1849176,15.34753293,133.237211,14.74981611,,,,
-25.51876375,-26.25299167,0.23098125,-24.53266415,-28.13653791,0.155575,141.3300312,35.10845073,-0.3286125,159.3631016,15.96192379,-0.05000625,-21.035,0,-0.0428625,-56.95278531,-32.1303463,-56.90049187,-32.72806312,-50.64213411,-29.66196948,-50.63166267,-30.2618781,151.0993211,34.01660528,150.9951322,33.42572063,135.3616883,15.52840863,135.4087638,14.93025823,,,,
-19.68226454,-24.30861792,0.21034375,-18.47924286,-27.31808324,0.14605,147.4303015,34.31345716,-0.327025,165.4689134,15.78070752,-0.041275,-15.004,0,-0.041275,-54.35208905,-31.87992774,-54.28937197,-32.47664087,-48.46361601,-29.61443405,-48.44790984,-30.21422844,153.678592,33.53856567,153.5641066,32.94958936,137.5399546,15.69028178,137.5818085,15.09174335,,,,
-13.93040045,-22.12656111,0.1825625,-12.44762521,-26.35197462,0.127,153.4928437,33.26899829,-0.32781875,171.5684751,15.45036707,-0.0508,-9.037,0,-0.0381,-51.75615929,-31.5841589,-51.68303769,-32.17968659,-46.28559567,-29.54788951,-46.26465598,-30.147524,156.2491271,33.01558439,156.1243801,32.42869583,139.7195506,15.83314004,139.7561797,15.23425917,,,,
-8.272846209,-19.7104915,0.15478125,-6.441412195,-25.23878884,0.117475,159.5074606,31.97683092,-0.3175,177.658145,14.97109965,-0.0508,-3.025,0,-0.03730625,-49.16578679,-31.24312989,-49.08228293,-31.83729073,-44.10823897,-29.46234093,-44.08206734,-30.06176986,158.8101435,32.44782074,158.6751728,31.8631987,141.9003102,15.95697255,141.9317117,15.35779483,,,,
-2.719117897,-17.06447294,0.123825,-0.464189651,-23.97919048,0.098425,165.4640354,30.43912849,-0.30876875,183.7342876,14.3431914,-0.041275,2.981,0,-0.03730625,-46.58176058,-30.85694459,-46.4878999,-31.44955759,-41.93171173,-29.35779483,-41.90031015,-29.95697255,161.3608609,31.83544766,161.2157078,31.25327022,144.0820673,16.06176986,144.108239,15.46234093,,,,
2.721443037,-14.19295607,0.09128125,5.4804739,-22.57393157,0.085725,171.3525492,28.65847744,-0.3000375,189.7932752,13.56701719,-0.04524375,8.999,0,-0.04048125,-44.0048678,-30.42572063,-43.9006789,-31.01660528,-39.75617968,-29.23425917,-39.71955055,-29.83314004,163.9005025,31.17865169,163.7452111,30.5990962,146.264656,16.147524,146.2855957,15.54788951,,,,
8.039685494,-11.10077083,0.05476875,11.38902937,-21.02385106,0.0762,177.1630973,26.63787286,-0.28575,195.8314906,12.6430404,-0.05318125,15.007,0,-0.0396875,-41.43589339,-29.94958936,-41.32140799,-30.53856567,-37.58180851,-29.09174335,-37.53995462,-29.69028178,166.4282946,30.4776329,166.2629122,29.90087588,148.4479098,16.21422844,148.463616,15.61443405,,,,
13.22666412,-7.79311832,0.03254375,17.25794924,-19.32987438,0.05715,182.8859063,24.38071342,-0.2667,201.8453286,11.57181268,-0.034925,20.968,0,-0.0365125,-38.87561988,-29.42869583,-38.75087287,-30.01558439,-35.4087638,-28.93025823,-35.36168834,-29.52840863,168.9434672,29.73260482,168.7680442,29.15882197,150.6316627,16.2618781,150.6421341,15.66196948,,,,
18.27365434,-4.275562049,0,23.08372963,-17.49301288,0.034925,188.5113505,21.8907957,-0.2428875,207.8311991,10.35397357,-0.01508125,26.983,0,-0.03175,-36.32482716,-28.8631987,-36.18985653,-29.44782074,-33.23721104,-28.74981611,-33.18491759,-29.34753293,171.4452543,28.9437944,171.2598441,28.37316049,152.8157482,16.29046934,152.8209841,15.69049219,,,,
,,,28.86289244,-15.5143632,0.01905,194.0299677,19.17230777,-0.21669375,213.7855283,8.990250145,-0.01190625,33.023,0,-0.02778125,-33.78429223,-28.25327022,-33.63913909,-28.83544766,-31.0673156,-28.55043073,-31.00980814,-29.14766845,173.9328936,28.11144191,173.7375527,27.54413077,155,16.3,155,15.7,,,,
,,,34.59198739,-13.39510662,0,199.4324756,16.22982217,-0.187325,219.7047613,7.481456572,0,38.945,0,-0.02936875,-31.25478895,-27.5990962,-31.09949752,-28.17865169,-28.89924272,-28.33211727,-28.83652564,-28.92883041,176.4056275,27.2358009,176.2004155,26.67198533,157.1842518,16.29046934,157.1790159,15.69049219,,,,
,,,,,,204.7097869,13.06828821,-0.14684375,,,,44.72,0,-0.02778125,-28.73708783,-26.90087588,-28.57170542,-27.4776329,-26.73315752,-28.09489236,-26.66523559,-28.69103548,178.8627028,26.3171381,178.647682,25.75698985,159.3683373,16.2618781,159.3578659,15.66196948,,,,
,,,,,,209.8530253,9.693023616,-0.11509375,,,,51.077,0,-0.0269875,-26.2319558,-26.15882197,-26.05653278,-26.73260482,-24.56922495,-27.83877406,-24.49610335,-28.43430176,181.303371,25.35573334,181.078607,24.79942303,161.5520902,16.21422844,161.536384,15.61443405,,,,
